ReporterISO3,PartnerISO3,Year,Value chains,Temperature,value_usd,quantity_mt
RUS,EGY,2018,Potatoes,Fresh,127679192,361400.02
RUS,EGY,2017,Potatoes,Fresh,118410587,326063.18
RUS,EGY,2014,Potatoes,Fresh,172123491,308317.42
RUS,EGY,2021,Potatoes,Fresh,108633553,285932.197
RUS,EGY,2015,Potatoes,Fresh,117094518,274578.106
RUS,EGY,2011,Potatoes,Fresh,150518928,263035.982
RUS,EGY,2020,Potatoes,Fresh,73595055,194444.615
UGA,KEN,2024,Potatoes,Fresh,7226754,156926
GRC,EGY,2024,Potatoes,Fresh,64237991,154965.94
GRC,EGY,2023,Potatoes,Fresh,53611991,140543.85
RUS,EGY,2016,Potatoes,Fresh,45430447,132988.64
RUS,EGY,2019,Potatoes,Fresh,61468416,131590.72
RUS,EGY,2013,Potatoes,Fresh,70374403,128061.232
GRC,EGY,2019,Potatoes,Fresh,56290176,117809.35
ITA,EGY,2008,Potatoes,Fresh,51685643,109332
UGA,KEN,2021,Potatoes,Fresh,13766597,107978.67
ITA,EGY,2007,Potatoes,Fresh,46827413,106629
RUS,EGY,2008,Potatoes,Fresh,55434247,101569.047
ITA,EGY,2024,Potatoes,Fresh,44560770,100717.62
GRC,EGY,2020,Potatoes,Fresh,33033827,98628.3
DEU,EGY,2008,Potatoes,Fresh,39616234,98479.603
ITA,EGY,2005,Potatoes,Fresh,32583224,96941.9
DEU,EGY,2002,Potatoes,Fresh,23815000,96767.5
ITA,EGY,2009,Potatoes,Fresh,47098096,92139
GRC,EGY,2022,Potatoes,Fresh,38557139,91643.2
ITA,EGY,2006,Potatoes,Fresh,33890047,91221.5
UGA,KEN,2023,Potatoes,Fresh,5788550,90457.3
ITA,EGY,2002,Potatoes,Fresh,25103456,87267.8
LBN,EGY,2007,Potatoes,Fresh,29096903,85366.605
GRC,EGY,2017,Potatoes,Fresh,31491797,84584.85
ITA,EGY,2010,Potatoes,Fresh,43573840,83982.7
DEU,EGY,2024,Potatoes,Fresh,43456154,82151.001
DEU,EGY,2019,Potatoes,Fresh,38475226,81739.91316
DEU,EGY,2005,Potatoes,Fresh,27928000,81727.7
RUS,EGY,2012,Potatoes,Fresh,42380363,81307.779
ITA,EGY,2013,Potatoes,Fresh,39519012,79312.8
ITA,EGY,2023,Potatoes,Fresh,42953275,78177.05
ITA,EGY,2003,Potatoes,Fresh,21834178,77504.9
DEU,EGY,2009,Potatoes,Fresh,34509041,75719.443
RUS,EGY,2010,Potatoes,Fresh,41372700,75664.176
ITA,EGY,2004,Potatoes,Fresh,26626558,75609.7
ITA,EGY,2011,Potatoes,Fresh,46736109,74505.325
GRC,EGY,2008,Potatoes,Fresh,37392188,73207.172
DEU,EGY,2018,Potatoes,Fresh,27735343,72767.898
GRC,EGY,2009,Potatoes,Fresh,29523558,72070.407
TUR,EGY,2019,Potatoes,Fresh,31922973,71985.95
RUS,EGY,2006,Potatoes,Fresh,16517491,70883.692
LBN,EGY,2019,Potatoes,Fresh,27307826,70849.8
DEU,EGY,2006,Potatoes,Fresh,30203000,68672.8
ITA,EGY,2012,Potatoes,Fresh,35277679,68672.35
DEU,EGY,2020,Potatoes,Fresh,30219470,67226.281
GRC,EGY,2021,Potatoes,Fresh,23903631,66478.7
ITA,EGY,2017,Potatoes,Fresh,27427168,66275
DEU,EGY,2017,Potatoes,Fresh,28174321,66102.175
LBN,EGY,2017,Potatoes,Fresh,23756840,65932.7
GRC,EGY,2007,Potatoes,Fresh,29631131,65344.917
ARE,EGY,2023,Potatoes,Fresh,22507606,65157.5
RUS,EGY,2007,Potatoes,Fresh,32701812,65064.793
LBN,EGY,2022,Potatoes,Fresh,25467496,64896.5
ITA,EGY,2016,Potatoes,Fresh,31520520,64890.9
DEU,EGY,2023,Potatoes,Fresh,40332276,64851.264
LBN,EGY,2016,Potatoes,Fresh,27983955,63917.5
DEU,EGY,2013,Potatoes,Fresh,40603077,63847.069
GRC,EGY,2018,Potatoes,Fresh,20617540,63629.73
DEU,EGY,2016,Potatoes,Fresh,36649132,63536.779
GRC,EGY,2004,Potatoes,Fresh,22908949,63431.218
ITA,EGY,2015,Potatoes,Fresh,23860616,63039.3
ESP,EGY,2024,Potatoes,Fresh,31293857,62202.19
ARE,EGY,2017,Potatoes,Fresh,22999736,61207.2
DEU,EGY,2011,Potatoes,Fresh,39320599,61094.602
DEU,EGY,2014,Potatoes,Fresh,29167948,60460.851
ARE,EGY,2022,Potatoes,Fresh,21281600,59971.6
ITA,EGY,2019,Potatoes,Fresh,28167027,59598.1
GRC,EGY,2010,Potatoes,Fresh,23886641,59538.875
LBN,EGY,2003,Potatoes,Fresh,7147742,59458.425
ARE,EGY,2020,Potatoes,Fresh,20927730,59245.2
RUS,EGY,2009,Potatoes,Fresh,33876808,58766.902
DEU,EGY,2012,Potatoes,Fresh,22437621,56537.216
GRC,EGY,2015,Potatoes,Fresh,19364239,55933.625
DEU,EGY,2004,Potatoes,Fresh,22701000,55839.2
ITA,EGY,2014,Potatoes,Fresh,29902341,55643.44
DEU,EGY,2022,Potatoes,Fresh,33085820,55522.494
ARE,EGY,2018,Potatoes,Fresh,17132404,55471.72
LBN,EGY,2008,Potatoes,Fresh,20631919,54689.54
LBN,EGY,2005,Potatoes,Fresh,7684000,53263
DEU,EGY,2010,Potatoes,Fresh,28823453,52329.629
GRC,EGY,2011,Potatoes,Fresh,37044890,52243.325
SAU,EGY,2022,Potatoes,Fresh,18458452,51187.86
GRC,EGY,2006,Potatoes,Fresh,20669269,50896.71
RUS,EGY,2005,Potatoes,Fresh,12108751,50541.904
ESP,EGY,2023,Potatoes,Fresh,26995762,50488.3
DEU,EGY,2021,Potatoes,Fresh,24104091,50242.727
DEU,EGY,2015,Potatoes,Fresh,19270768,50128.745
DEU,EGY,2007,Potatoes,Fresh,21417000,49778.1
LBN,EGY,2014,Potatoes,Fresh,24411817,49554.962
GRC,EGY,2005,Potatoes,Fresh,15566429,49527.635
LBN,EGY,2018,Potatoes,Fresh,15221857,47267.1
ARE,EGY,2015,Potatoes,Fresh,21965700,47246.4
LBN,EGY,2013,Potatoes,Fresh,25250133,46789.38
GRC,EGY,2016,Potatoes,Fresh,16048154,46403.8
LBN,EGY,2004,Potatoes,Fresh,6442000,46099
GRC,EGY,2013,Potatoes,Fresh,25055675,45949.45
LBN,EGY,2002,Potatoes,Fresh,7542996,45632.063
GRC,EGY,2002,Potatoes,Fresh,13315483,45312.872
LBN,EGY,2020,Potatoes,Fresh,15182434,44321.6
ARE,EGY,2014,Potatoes,Fresh,23291866,42791.5
LBN,EGY,2024,Potatoes,Fresh,25747330,42194.97246
SVN,EGY,2017,Potatoes,Fresh,6040205,41930.063
ARE,EGY,2021,Potatoes,Fresh,13574348,41109.6
ITA,EGY,2020,Potatoes,Fresh,22307953,40929.28
SVN,EGY,2023,Potatoes,Fresh,23283628,40373.89613
LBN,EGY,2009,Potatoes,Fresh,16807959,40343.5
LBN,EGY,2015,Potatoes,Fresh,15973245,39094
DEU,EGY,2003,Potatoes,Fresh,12014000,38596.3
ITA,EGY,2018,Potatoes,Fresh,17611302,38345.5
SVN,EGY,2024,Potatoes,Fresh,16693174,38334.8226
FRA,MAR,2004,Potatoes,Fresh,21079796,38272.1
GRC,EGY,2012,Potatoes,Fresh,12874780,36529.425
